structure,trans_HOMO-1,trans_HOMO,trans_LUMO,trans_LUMO+1,trans_densPd,trans_densP1,trans_densP2,trans_CMull_Pd,trans_CMull_P1,trans_CMull_P2,trans_Chir_Pd,trans_Chir_P1,trans_Chir_P2,trans_Cvor_Pd,trans_Cvor_P1,trans_Cvor_P2,trans_Cmdc_Pd,trans_Cmdc_P1,trans_Cmdc_P2,trans_dipol,trans_EPd,trans_EP1,trans_EP2,cis_HOMO-1,cis_HOMO,cis_LUMO,cis_LUMO+1,cis_densPd,cis_densP1,cis_densP2,cis_CMull_Pd,cis_CMull_P1,cis_CMull_P2,cis_Chir_Pd,cis_Chir_P1,cis_Chir_P2,cis_Cvor_Pd,cis_Cvor_P1,cis_Cvor_P2,cis_Cmdc_Pd,cis_Cmdc_P1,cis_Cmdc_P2,cis_dipol,cis_EPd,cis_EP1,cis_EP2,bite_angle,buried_volume,cone_angle,sasa_area,sasa_atom_area,sasa_volume,solid_angle_G,solid_angle_cone_angle,solid_angle_solid_angle,sterimol_B1,sterimol_B5,sterimol_L,A,B,C,D,A+B+C+D
1,-5.268,-5.076,-2.611,-2.408,106227.795,2232.73439,2232.73424,-0.3248,0.838,0.8189,0.3168,0.1971,0.1951,0.32,0.141,0.139,0.675716,1.030609,1.052508,6.667753,267.609957,54.429727,54.436711,-5.707,-4.965,-2.575,-2.377,106227.5489,2232.83133,2232.69066,-0.2556,0.8145,0.9172,0.2872,0.1764,0.2014,0.289,0.119,0.145,0.587354,1.003625,1.047883,13.546196,267.615191,54.433909,54.416281,134.1797648,0.605288512,240.1197681,756.7449024,27.26997799,1382.28866,61.04181276,205.5170648,7.670740421,3.325580981,6.794354173,10.85705283,67,1,149,42,258
2,-5.392,-4.831,-2.849,-2.413,106227.4804,2232.70804,2232.72688,-0.3892,0.8811,0.8723,0.339,0.1884,0.189,0.339,0.127,0.128,0.666884,1.036074,1.038971,7.84911,267.600715,54.432354,54.432905,-5.575,-5.016,-2.599,-2.389,106227.2118,2232.72711,2232.86245,-0.2815,0.8793,0.7935,0.2822,0.1935,0.176,0.28,0.14,0.114,0.568974,1.034196,1.013105,12.756419,267.614457,54.417677,54.44091,141.9513792,0.610450808,260.2926338,827.8538464,21.7433661,1497.495087,60.32262087,203.8298834,7.580364103,3.582668273,7.710642014,10.613015,39,17,19,157,232
3,-5.036,-4.735,-3.205,-2.35,106227.167,2232.7736,2232.80619,-0.2134,0.8482,0.7718,0.3314,0.1757,0.1792,0.335,0.122,0.118,0.676485,1.009608,1.02266,16.278268,267.609683,54.425072,54.443044,-5.158,-4.957,-2.548,-2.309,106227.2154,2232.71086,2232.88803,-0.1973,0.7906,0.7949,0.2828,0.1979,0.1801,0.287,0.14,0.116,0.599999,1.037364,1.014341,15.511257,267.621363,54.418554,54.443368,142.761975,0.610501803,264.5325661,795.4337417,21.77301897,1412.812619,60.38174575,203.9684138,7.587793954,3.627007842,6.800154516,10.7673,43,15,27,157,243
4,-5.063,-4.863,-2.509,-1.986,106227.9545,2232.90548,2232.9059,-0.4946,1.1835,1.1902,0.3251,0.2046,0.2034,0.322,0.125,0.123,0.683907,1.03978,1.03104,6.399723,267.608946,54.442102,54.442222,-5.485,-4.852,-2.535,-2.147,106226.9196,2233.04261,2232.90621,-0.3732,0.9004,1.0245,0.3132,0.1811,0.2083,0.3,0.102,0.135,0.61644,1.000965,1.018996,12.05241,267.611575,54.453428,54.423877,30.5537832,0.805808757,0,773.9588864,0.327237709,1524.853295,0,0,0,4.87270599,7.242142714,4.673328999,51,11,29,151,242
5,-5.2,-4.859,-2.547,-2.264,106227.4553,2233.04752,2233.04811,-0.474,1.1796,1.182,0.3343,0.2119,0.2125,0.327,0.13,0.134,0.707872,0.999136,0.999834,3.679518,267.60899,54.436379,54.43613,-5.354,-4.913,-2.459,-2.41,106226.1292,2233.30145,2233.04443,-0.407,0.9239,1.1131,0.3277,0.1802,0.2064,0.311,0.095,0.132,0.650451,0.967482,0.973882,11.962451,267.61536,54.456193,54.419133,145.8495317,0.733198796,296.7080959,694.8054787,2.347154744,1337.586364,75.56524141,241.5035191,9.495808291,3.819447995,7.730082994,8.986464702,41,3,44,142,230
6,-5.287,-4.969,-2.434,-2.237,106227.6571,2232.75645,2232.74109,-0.3554,0.9085,0.8713,0.318,0.1972,0.2005,0.319,0.137,0.141,0.643943,1.045201,1.056299,7.342067,267.606274,54.434977,54.431756,-5.425,-4.819,-2.585,-2.39,106227.0988,2232.7686,2232.83206,-0.2898,0.8456,0.8488,0.3019,0.1963,0.1741,0.299,0.146,0.115,0.600889,1.041864,1.019501,10.86352,267.610774,54.418836,54.446029,161.7890041,0.727658335,281.0650137,867.6486554,8.663097686,1662.569556,74.20078064,237.901705,9.324345094,4.516599001,7.930409943,10.41763347,55,1,164,37,257
7,-5.252,-4.897,-2.649,-2.587,106226.733,2232.74924,2232.78337,-0.2058,0.7755,0.7857,0.3092,0.2063,0.2072,0.318,0.141,0.139,0.690356,1.049261,1.058992,8.073739,267.613098,54.424824,54.427482,-5.338,-4.987,-2.752,-2.69,106226.4377,2232.7878,2232.80833,-0.2719,0.8119,0.763,0.2997,0.2026,0.1993,0.312,0.144,0.143,0.692668,1.040049,1.036967,8.398157,267.61707,54.425929,54.432701,29.65241688,0.779444652,0,765.3956549,0.330007711,1393.061435,0,0,0,3.29417396,12.33625342,5.300975934,20,0,137,3,160
8,-5.416,-4.775,-2.975,-2.631,106227.7997,2232.71813,2232.71521,-0.1989,0.7472,0.8295,0.3256,0.2021,0.2086,0.316,0.138,0.145,0.784706,1.04282,1.049231,6.416148,267.602149,54.427228,54.42047,-5.287,-5.255,-2.917,-2.765,106228.2488,2233.16246,2232.62472,-0.0322,0.3196,0.8112,0.3223,0.1379,0.1944,0.321,0.073,0.13,0.684707,0.941332,1.035035,12.317162,267.605497,54.480182,54.407433,41.99446316,0.858285967,342.19209,875.6170919,0,1612.547593,98.1139583,328.4257552,12.32936362,5.017782965,9.116904312,10.78864199,21,0,149,3,173
9,-5.774,-4.825,-3.061,-2.377,106226.609,2232.69494,2233.15773,-0.2397,0.7863,0.5549,0.3187,0.2057,0.1562,0.328,0.155,0.094,0.650441,1.020571,0.946439,7.596445,267.600707,54.415137,54.450881,-5.775,-4.919,-2.512,-2.338,106228.2969,2232.66369,2232.85424,-0.1926,0.7652,0.5679,0.2831,0.2073,0.1701,0.291,0.149,0.109,0.5783,1.019626,0.964165,15.505727,267.610267,54.405666,54.428357,77.19684786,0.427075568,187.3545161,630.3934359,58.55925441,1094.083144,43.87235397,165.9210762,5.513162597,3.391034249,6.814992165,9.214595669,70,5,62,113,249
10,-5.856,-4.542,-3.034,-2.41,106226.9075,2232.74021,2232.7719,-0.3564,0.7916,0.7683,0.329,0.1858,0.1811,0.331,0.122,0.11,0.627822,1.008068,1.009743,8.39533,267.5944,54.42866,54.430756,-5.773,-4.8,-2.49,-2.231,106228.2776,2232.7894,2232.68886,-0.2416,0.7231,0.8174,0.2942,0.1815,0.2051,0.296,0.113,0.141,0.588281,0.986279,1.022649,14.046725,267.608797,54.433525,54.411127,93.82078426,0.533672661,254.3639032,661.6045288,40.88947939,1127.86748,55.05331848,191.6011602,6.918204036,3.588212662,6.789261329,10.15641439,39,17,18,155,229
